Clean Development Mechanism::SYN::CDM,F 895         
common reporting,F 12          
comprehensive agreement,F 12          
continued consideration,F 12          
core elements,F 12          
financial rules,F 12          
focal points,F 12          
funding issues,F 12          
human rights,F 12          
importance of adaptation,F 12          
last week,F 12          
legal options,F 12          
legal status,F 12          
legally-binding consequences,F 12          
member states,F 12          
national targets,F 12          
non-market approaches,F 14          
noted agreement,F 12          
nuclear power,F 12          
senior officials,F 12          
two negotiating tracks,F 11          
world leaders,F 12          
parties submissions,F 12          
update reports,F 12          
Environmental Protection,F 12          
JI Track::SYN::joint implementation Track,F 12          
binding commitments,F 12          
observer organizations,F 12          
slow progress,F 12          
contact group on Annex,F 8           
forest conservation,F 12          
emission factors,F 12          
human health,F 12          
second review of adequacy,F 8           
draft report,F 12          
projects between Annex,F 13          
geographic distribution,F 12          
technology information,F 12          
Chair draft text,F 8           
countries and countries in transition,F 8           
technical and socioeconomic aspects,F 8           
carbon dioxide equivalent,F 8           
decision on Article,F 12          
Commission on Sustainable Development,F 8           
reporting and review of information,F 8           
AWG Chair,F 12          
ANNEX I FURTHER COMMITMENTS,F 5           
AOSIS proposal::SYN::Alliance of Small Island States proposal,F 10          
AWG-KP Chair John Ashe,F 5           
AWG-KP Chair Madeleine Diouf,F 5           
AWG-KP Vice-Chair,F 13          
AWG-LCA text,F 11          
Adrian Macey,F 13          
Board report,F 10          
CDM Executive Board Chair::SYN::Clean Development Mechanism Executive Board Chair,F 6           
CDM activities::SYN::Clean Development Mechanism activities,F 11          
CENTRAL AMERICAN INTEGRATION SYSTEM,F 5           
CHAMBER OF COMMERCE,F 10          
COUNCIL FOR LOCAL ENVIRONMENTAL INITIATIVES,F 5           
Chair Michael Zammit Cutajar,F 6           
Co-Chair Rosland,F 10          
Co-Facilitators Bamsey and De Wet,F 5           
Deputy Minister,F 11          
GEF funding::SYN::Global Environment Facility funding,F 11          
Global Climate Observation System,F 5           
INTERIM FINANCIAL,F 10          
IPCC AR4,F 10          
IPCC Chair Rajendra Pachauri,F 5           
JI pilot::SYN::joint implementation pilot,F 11          
Kunihiko Shimada,F 11          
MITIGATION sub-paragraph,F 10          
Maritime Organization,F 12          
Ministerial Round,F 11          
Moon Palace,F 10          
Nature Conservation and Nuclear Safety,F 5           
Neroni Slade,F 11          
PARTIES PROPOSALS UNDER CONVENTION ARTICLE,F 6           
PROPOSAL TO AMEND,F 11          
President Dion,F 11          
President Witoelar,F 10          
SBI Chair Robert Owen-Jones,F 6           
SBI session,F 12          
SOLOMON ISLANDS,F 11          
accounting system,F 11          
adaptation needs,F 11          
adequacy of Article,F 11          
advisory panels,F 11          
aggregate and individual emission reductions,F 5           
agreed full incremental costs,F 6           
aspects of mitigation,F 11          
behalf of AOSIS::SYN::behalf of Alliance of Small Island States,F 11          
bracketed paragraph,F 11          
bracketed reference,F 10          
briefed delegates,F 10          
burden sharing,F 11          
calendar of meetings,F 10          
clear options,F 11          
climate policy,F 11          
considered draft,F 12          
crunch issues,F 11          
decision for consideration,F 11          
drawing attention,F 11          
due process,F 11          
effective action,F 11          
eligibility requirements,F 11          
emission factors and activity data,F 6           
emission limitation and reduction commitments,F 5           
emissions from fuel,F 11          
energy sources,F 11          
environmental NGOs::SYN::environmental non-governmental organizations,F 11          
environmentally sound technology transfer,F 5           
existing technologies,F 11          
extended Bureau,F 12          
financial resources and technology transfer,F 6           
further implementation of Convention Article,F 6           
general statements,F 10          
highlighted concerns,F 10          
human-induced activities,F 10          
important issues,F 11          
informal consultations and other meetings,F 5           
informal informals,F 11          
joint fulfillment,F 11          
legal capacity,F 11          
legally-binding commitments,F 11          
ministers and other senior officials,F 6           
minor amendments,F 11          
non-paper No,F 11          
physical location,F 10          
political guidance,F 11          
precautionary principle,F 10          
programme priorities and eligibility criteria,F 6           
proposed Protocol,F 11          
quantified emission reduction targets,F 6           
reductions by Annex I countries,F 6           
reference to Annex I Parties,F 5           
relevant documents,F 11          
relevant information,F 11          
relevant organizations,F 11          
remaining issues,F 10          
resumed COP-6,F 10          
second and subsequent commitment periods,F 5           
serious threats,F 10          
serious threats to sustainable development,F 5           
stratospheric ozone layer and efforts,F 5           
taken place,F 11          
technical assistance,F 11          
transfer mechanism,F 11          
informal drafting,F 11          
economic development,F 11          
hot air,F 11          
Croatia appeal,F 11          
carry-over of AAUs::SYN::carry-over of Assigned Amount Units,F 11          
separate decisions,F 11          
urgent action,F 11          
global temperature,F 11          
implementation of commitments,F 11          
late afternoon,F 11          
late evening,F 11          
initial communications,F 11          
human activities,F 11          
Stage II adaptation activities,F 7           
market approaches,F 12          
possible options,F 11          
Disaster Reduction,F 11          
Ould El,F 12          
ozone layer,F 13          
AUSTRALIA and NEW ZEALAND,F 6           
AWG-KP Chair Diouf,F 6           
AWG-LCA Chair Tayeb,F 6           
CANADA and NEW ZEALAND,F 6           
CDM regional distribution::SYN::Clean Development Mechanism regional distribution,F 6           
COP President Rasmussen::SYN::Conference of Parties President Rasmussen,F 7           
Eduardo Calvo Buendia,F 6           
GHG emissions and removals,F 8           
MAINTENANCE OF INTERIM ARRANGEMENTS,F 6           
Parties then considered,F 6           
RUSSIAN FEDERATION and UKRAINE,F 6           
UNFCCC reporting guidelines,F 7           
William Kojo Agyemang-Bonsu,F 6           
afforestation and reforestation project,F 8           
changes in emissions and removals,F 6           
cleaner energy exports,F 7           
